Title,Platform(s),Genre(s)
Dragon Quest XI,"Win, PS4",Role-Playing
God Wars: The Complete Legend,NS,Tactical Role-Playing
Planet Alpha,"Win, NS, PS4, XBO",Platformer
Gone Home,NS,Exploration
Immortal: Unchained,"Win, PS4, XBO",Action Role-Playing
NASCAR Heat 3,"Win, PS4, XBO",Racing
NBA Live 19,"PS4, XBO",Sports
SNK Heroines: Tag Team Frenzy,"NS, PS4",Fighting
Spider-Man,PS4,Action-adventure
Yo-Kai Watch Blasters: Red Cat Corp and White Dog Squad,3DS,Role-Playing
Dust: An Elysian Tail,NS,Action Role-Playing
Boundless,PS4,"MMO, sandbox"
Dakar 18,"Win, PS4, XBO",Racing
NBA 2K19,"Win, NS, PS4, XBO",Sports
Super Street: The Game,"Win, PS4, XBO",Racing
Cities: Skylines,NS,City-building
Final Fantasy XV: Pocket Edition,NS,Role-Playing
Frozen Synapse 2,"Win, Lin, Mac",Turn-based strategy
Wasteland 2: Director's Cut,NS,Role-Playing
Black Clover: Quartet Knights,"Win, PS4",Action
NHL 19,"PS4, XBO",Sports
Shadow of the Tomb Raider,"Win, PS4, XBO",Action-adventure
The Bard's Tale IV: Barrows Deep,"Win, Mac, Lin",Dungeon Crawl
Capcom Beat 'Em Up Bundle,"Win, NS, PS4, XBO",Beat 'em up
Labyrinth of Refrain: Coven of Dusk,"Win, NS, PS4","Role-Playing, Dungeon Crawler"
Legendary Fishing,"NS, PS4",Simulation
Scribblenauts Mega Pack,"NS, PS4, XBO",Party
Undertale,NS,Role-Playing
8-bit ADV Steins;Gate,NS,Visual novel
CrossCode,"Win, Mac, Lin",Action Role-Playing
Star Control: Origins,Win,Strategy
Steins;Gate Elite,"NS, PS4, PSVita",Visual novel
Steins;Gate: Linear Bounded Phenogram,PS4,Visual novel
Broken Sword 5: The Serpent's Curse,NS,Point-and-click adventure
The Banner Saga Trilogy,NS,Role Playing
Xenoblade Chronicles 2: Torna – The Golden Country,NS,Action Role-Playing
Giana Sisters Twisted Dreams: Owltimate Edition,NS,Platform
Metal Max Xeno,PS4,Role-Playing
Pathfinder: Kingmaker,"Win, Mac, Lin",Role-Playing
Punch Line,"Win, PS4, PSVita","Adventure, visual novel"
Psyvariar Delta,"NS, PS4",Scrolling shooter
Revenant Dogma,"Win, NS, PS4, Vita",Role-Playing
South Park: The Stick of Truth,NS,Role-Playing
This Is the Police 2,"NS, PS4, XBO",Adventure
Valkyria Chronicles 4,"Win, NS, PS4, XBO",Tactical Role-Playing
The Walking Dead: The Final Season – Episode 2: Suffer the Children,"Win, PS4, XBO, NS",Graphic adventure
Hollow Knight,"PS4, XBO",Metroidvania
Let It Die,Win,Survival
Dragalia Lost,"iOS, Droid",Action Role-Playing
Life Is Strange 2 – Episode 1: Roads,"Win, PS4, XBO",Graphic adventure
Super Neptunia RPG,"NS, PS4",Role-Playing
Wandersong,"Win, NS","Adventure, Music"
Dragon Ball FighterZ,NS,Fighting
FIFA 19,"Win, NS, PS4, PS3, XBO, X360",Sports
Jake Hunter Detective Story: Ghost of the Dusk,3DS,Role-Playing
ZeroRanger,Win,Scrolling shooter
Astro Bot Rescue Mission,PS4,"Action, platformer"
Batman: The Enemy Within,NS,Graphic adventure
Forza Horizon 4,"Win, XBO",Racing
Fist of the North Star: Lost Paradise,PS4,Action-adventure
Mega Man 11,"Win, NS, PS4, XBO","Action, platform"
Valthirian Arc: Hero School Story,"Win, NS, PS4",Action Role-Playing
Assassin's Creed Odyssey,"Win, PS4, XBO","Action-adventure, stealth"
Super Mario Party,NS,Party
Disgaea 1 Complete,"NS, PS4",Tactical Role-Playing
Goosebumps The Game,NS,Role-Playing
Pixel Puzzle Collection,iOS,Puzzle
Mark of the Ninja: Remastered,"Win, NS, PS4, XBO","Action, stealth"
WWE 2K19,"Win, PS4, XBO","Professional wrestling, sports"
Call of Duty: Black Ops 4,"Win, PS4, XBO",First-person shooter
Luigi's Mansion,3DS,Action-adventure
The Missing: J.J. Macfield and the Island of Memories,"Win, NS, PS4, XBO",Puzzle-platformer
The World Ends with You: Final Remix,NS,Action Role-Playing
Big Buck Hunter Arcade,NS,Scrolling shooter
Crayola Scoot,"Win, NS, PS4, XBO",Extreme sports
Lego DC Super-Villains,"Win, NS, PS4, XBO",Action-adventure
NBA 2K Playgrounds 2,"Win, NS, PS4, XBO",Sports
Overload,"PS4, XBO","First-person shooter, shoot 'em up"
